SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
6,"<div id=sub6in4"" class=""noChange control"">Barack</div>""",#sub6in4,Barack,control,33.438,1436443145734,1436443149243," ""718""",530.609375,718,530,111,42
6,"<div id=sub6in5"" class=""noChange control"">Obama</div>""",#sub6in5,Obama,control,33.438,1436443145734,1436443149243," ""718""",649.09375,718,649,116,42
6,"<div id=sub6in6"" class=""noChange"">invented</div>""",#sub6in6,invented,noChange,33.438,1436443145734,1436443149243," ""718""",772.921875,718,772,132,42
6,"<div id=sub6in7"" class=""noChange"">machines</div>""",#sub6in7,machines,noChange,33.438,1436443145734,1436443149243," ""718""",912.796875,718,912,148,42
7,"<div id=sub7in0"" class=""noChange"">the</div>""",#sub7in0,the,noChange,37.664,1436443149744,1436443152750," ""718""",335.1640625,718,335,55,42
7,"<div id=sub7in1"" class=""noChange"">limestone</div>""",#sub7in1,limestone,noChange,37.664,1436443149744,1436443152750," ""718""",398.5390625,718,398,148,42
7,"<div id=sub7in2"" class=""noChange"">and</div>""",#sub7in2,and,noChange,37.664,1436443149744,1436443152750," ""718""",554.3828125,718,554,64,42
7,"<div id=sub7in3"" class=""noChange"">a</div>""",#sub7in3,a,noChange,37.664,1436443149744,1436443152750," ""718""",626.6640625,718,626,29,42
7,"<div id=sub7in4"" class=""noChange"">working</div>""",#sub7in4,working,noChange,37.664,1436443149744,1436443152750," ""718""",663.3515625,718,663,121,42
7,"<div id=sub7in5"" class=""noChange"">approach.</div>""",#sub7in5,approach.,noChange,37.664,1436443149744,1436443152750," ""718""",792.5078125,718,792,153,42
8,"<div id=sub8in0"" class=""noChange"">And</div>""",#sub8in0,And,noChange,40.803,1436443153000,1436443154252," ""718""",473.7578125,718,473,68,42
8,"<div id=sub8in1"" class=""noChange"">what</div>""",#sub8in1,what,noChange,40.803,1436443153000,1436443154252," ""718""",549.5859375,718,549,79,42
8,"<div id=sub8in2"" class=""noChange"">happened?</div>""",#sub8in2,happened?,noChange,40.803,1436443153000,1436443154252," ""718""",636.0703125,718,636,171,42
9,"<div id=sub9in0"" class=""noChange"">After</div>""",#sub9in0,After,noChange,42.272,1436443154502,1436443156506," ""718""",504.9296875,718,504,79,42
9,"<div id=sub9in1"" class=""noChange"">25</div>""",#sub9in1,25,noChange,42.272,1436443154502,1436443156506," ""718""",591.3984375,718,591,46,42
9,"<div id=sub9in2"" class=""noChange control"">seconds</div>""",#sub9in2,seconds,control,42.272,1436443154502,1436443156506," ""718""",645.8828125,718,645,131,42
10,"<div id=sub10in0"" class=""noChange"">all</div>""",#sub10in0,all,noChange,44.674,1436443156756,1436443159763," ""718""",185.984375,718,185,43,42
10,"<div id=sub10in1"" class=""noChange"">of</div>""",#sub10in1,of,noChange,44.674,1436443156756,1436443159763," ""718""",236.890625,718,236,38,42
10,"<div id=sub10in2"" class=""noChange"">the</div>""",#sub10in2,the,noChange,44.674,1436443156756,1436443159763," ""718""",282.46875,718,282,55,42
10,"<div id=sub10in3"" class=""noChange"">ideas</div>""",#sub10in3,ideas,noChange,44.674,1436443156756,1436443159763," ""718""",345.84375,718,345,88,42
10,"<div id=sub10in4"" class=""noChange"">and</div>""",#sub10in4,and,noChange,44.674,1436443156756,1436443159763," ""718""",441.234375,718,441,64,42
10,"<div id=sub10in5"" class=""noChange"">work</div>""",#sub10in5,work,noChange,44.674,1436443156756,1436443159763," ""718""",513.515625,718,513,79,42
10,"<div id=sub10in6"" class=""noChange"">that</div>""",#sub10in6,that,noChange,44.674,1436443156756,1436443159763," ""718""",599.96875,718,599,65,42
10,"<div id=sub10in7"" class=""noChange"">he</div>""",#sub10in7,he,noChange,44.674,1436443156756,1436443159763," ""718""",672.234375,718,672,46,42
10,"<div id=sub10in8"" class=""noChange"">invested</div>""",#sub10in8,invested,noChange,44.674,1436443156756,1436443159763," ""718""",726.71875,718,726,130,42
10,"<div id=sub10in9"" class=""noChange"">into</div>""",#sub10in9,into,noChange,44.674,1436443156756,1436443159763," ""718""",864.796875,718,864,63,42
10,"<div id=sub10in10"" class=""noChange"">the</div>""",#sub10in10,the,noChange,44.674,1436443156756,1436443159763," ""718""",935.28125,718,935,55,42
10,"<div id=sub10in11"" class=""noChange"">Dome</div>""",#sub10in11,Dome,noChange,44.674,1436443156756,1436443159763," ""718""",998.65625,718,998,97,42
11,"<div id=sub11in0"" class=""noChange"">were</div>""",#sub11in0,were,noChange,47.896,1436443160014,1436443163019," ""718""",300.796875,718,300,81,42
