SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
3,"<div id=sub3in8"" class=""noChange"">on</div>""",#sub3in8,on,noChange,24.308,1436442871589,1436442874345," ""718""",971.15625,718,971,46,42
4,"<div id=sub4in0"" class=""noChange"">most</div>""",#sub4in0,most,noChange,27.303,1436442874595,1436442876349," ""718""",253.8515625,718,253,81,42
4,"<div id=sub4in1"" class=""noChange"">of</div>""",#sub4in1,of,noChange,27.303,1436442874595,1436442876349," ""718""",342.0859375,718,342,37,42
4,"<div id=sub4in2"" class=""noChange"">which</div>""",#sub4in2,which,noChange,27.303,1436442874595,1436442876349," ""718""",387.6640625,718,387,93,42
4,"<div id=sub4in3"" class=""noChange"">are</div>""",#sub4in3,are,noChange,27.303,1436442874595,1436442876349," ""718""",488.3671875,718,488,57,42
4,"<div id=sub4in4"" class=""noChange"">taking</div>""",#sub4in4,taking,noChange,27.303,1436442874595,1436442876349," ""718""",553.5078125,718,553,96,42
4,"<div id=sub4in5"" class=""noChange"">place</div>""",#sub4in5,place,noChange,27.303,1436442874595,1436442876349," ""718""",657.7890625,718,657,88,42
4,"<div id=sub4in6"" class=""noChange"">in</div>""",#sub4in6,in,noChange,27.303,1436442874595,1436442876349," ""718""",753.1796875,718,753,36,42
4,"<div id=sub4in7"" class=""noChange"">Asia</div>""",#sub4in7,Asia,noChange,27.303,1436442874595,1436442876349," ""718""",796.9765625,718,796,74,42
4,"<div id=sub4in8"" class=""noChange"">or</div>""",#sub4in8,or,noChange,27.303,1436442874595,1436442876349," ""718""",878.1171875,718,878,39,42
4,"<div id=sub4in9"" class=""noChange"">Africa.</div>""",#sub4in9,Africa.,noChange,27.303,1436442874595,1436442876349," ""718""",925.4609375,718,925,102,42
5,"<div id=sub5in0"" class=""noChange"">One</div>""",#sub5in0,One,noChange,29.418,1436442876599,1436442880106," ""718""",149.53125,718,149,72,42
5,"<div id=sub5in1"" class=""noChange"">in</div>""",#sub5in1,in,noChange,29.418,1436442876599,1436442880106," ""718""",228.90625,718,228,36,42
5,"<div id=sub5in2"" class=""noChange"">seven</div>""",#sub5in2,seven,noChange,29.418,1436442876599,1436442880106," ""718""",272.703125,718,272,97,42
5,"<div id=sub5in3"" class=""noChange"">people</div>""",#sub5in3,people,noChange,29.418,1436442876599,1436442880106," ""718""",376.984375,718,376,108,42
5,"<div id=sub5in4"" class=""noChange"">survives</div>""",#sub5in4,survives,noChange,29.418,1436442876599,1436442880106," ""718""",491.96875,718,491,129,42
5,"<div id=sub5in5"" class=""noChange"">on</div>""",#sub5in5,on,noChange,29.418,1436442876599,1436442880106," ""718""",628.21875,718,628,46,42
5,"<div id=sub5in6"" class=""noChange"">less</div>""",#sub5in6,less,noChange,29.418,1436442876599,1436442880106," ""718""",682.703125,718,682,68,42
5,"<div id=sub5in7"" class=""noChange"">than</div>""",#sub5in7,than,noChange,29.418,1436442876599,1436442880106," ""718""",758.5,718,758,73,42
5,"<div id=sub5in8"" class=""noChange"">two</div>""",#sub5in8,two,noChange,29.418,1436442876599,1436442880106," ""718""",839.671875,718,839,61,42
5,"<div id=sub5in9"" class=""noChange control"">oxfords</div>""",#sub5in9,oxfords,control,29.418,1436442876599,1436442880106," ""718""",908.359375,718,908,116,42
5,"<div id=sub5in10"" class=""noChange"">a</div>""",#sub5in10,a,noChange,29.418,1436442876599,1436442880106," ""718""",1032.1875,718,1032,28,42
5,"<div id=sub5in11"" class=""noChange"">day</div>""",#sub5in11,day,noChange,29.418,1436442876599,1436442880106," ""718""",1068.875,718,1068,63,42
6,"<div id=sub6in0"" class=""noChange"">and</div>""",#sub6in0,and,noChange,33.293,1436442880607,1436442883363," ""718""",261.46875,718,261,64,42
6,"<div id=sub6in1"" class=""noChange"">10%</div>""",#sub6in1,10%,noChange,33.293,1436442880607,1436442883363," ""718""",333.75,718,333,75,42
6,"<div id=sub6in2"" class=""noChange"">of</div>""",#sub6in2,of,noChange,33.293,1436442880607,1436442883363," ""718""",416.6875,718,416,38,42
6,"<div id=sub6in3"" class=""noChange"">the</div>""",#sub6in3,the,noChange,33.293,1436442880607,1436442883363," ""718""",462.265625,718,462,55,42
6,"<div id=sub6in4"" class=""noChange"">biodiversity</div>""",#sub6in4,biodiversity,noChange,33.293,1436442880607,1436442883363," ""718""",525.640625,718,525,171,42
6,"<div id=sub6in5"" class=""noChange"">that</div>""",#sub6in5,that,noChange,33.293,1436442880607,1436442883363," ""718""",704.59375,718,704,64,42
6,"<div id=sub6in6"" class=""noChange"">we</div>""",#sub6in6,we,noChange,33.293,1436442880607,1436442883363," ""718""",776.859375,718,776,52,42
6,"<div id=sub6in7"" class=""noChange"">know</div>""",#sub6in7,know,noChange,33.293,1436442880607,1436442883363," ""718""",836.65625,718,836,86,42
6,"<div id=sub6in8"" class=""noChange"">today</div>""",#sub6in8,today,noChange,33.293,1436442880607,1436442883363," ""718""",930.25,718,930,89,42
7,"<div id=sub7in0"" class=""noChange"">will</div>""",#sub7in0,will,noChange,36.371,1436442883613,1436442885618," ""718""",229.8359375,718,229,56,42
